,frases
1447,aqui sempre precisar felipe caldas caval
1451,emanuel vamos conversar sobre
1452,favor escolha opcoes abaixo
1454,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1456,preciso informe cpf pessoa realizou compra
1458,compra emanuel status pedido
1460,alguma informacao sobre pedido
1462,ajudar
1464,emanuel
1467,pb
1468,maria jose vamos conversar sobre
1469,favor escolha opcoes abaixo
1470,pedido
1471,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1472,<PEDIDO>
1473,preciso informe cpf pessoa realizou compra
1474,<CPF>
1475,compra maria jose status pedido
1477,alguma informacao sobre pedido
1478,sim
1479,duvida maria jose
1480,pq falha consultar pedido
1481,jose vou verificar aqui internamente junto colegas tentar verificar aconteceu
1482,possamos entrar contato voce preciso preencha abaixo mail numero contato
1483,tchau
1484,breve bjs
1487,pb
1488,maria jose vamos conversar sobre
1489,favor escolha opcoes abaixo
1490,pedido
1491,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1492,<PEDIDO>
1493,preciso informe cpf pessoa realizou compra
1494,<CPF>
1495,nao consegui encontrar compras cpf informa novamente
1496,<CPF>
1497,compra maria jose status pedido
1499,alguma informacao sobre pedido
1500,sim
1501,tentar ajudar duvida maria jose
1502,posso retira loja
1503,jose voce comprou retirar produto loja prazo retirada <NUMERO> horas uteis apos voce receber mail confirmacao pagamento
1504,consultar status pedido
1505,sim
1506,jose voce escolheu <div style
1542,ajudar
1543,nao
1544,jose vou tentar ver colegas proxima vez consiga ajudar melhor abracos
1548,priscila vamos conversar sobre
1549,favor escolha opcoes abaixo
1550,compra
1551,informa cpf
1553,acabei verificar cpf gostaria saber posso enviar sms numero telefone termina <NUMERO>
1555,instantes voce recebera mensagem informacoes sobre saldo
1556,ajudar
1562,jo vamos conversar sobre
1563,favor escolha opcoes abaixo
1565,favor informa numero pedido <PEDIDO>
1567,preciso informe cpf pessoa realizou compra
1569,verifiquei pedido numero <PEDIDO> voce nao escolheu boleto forma pagamento
1570,ajudar
1572,redirecionar atendente humano clique botao abaixo
1574,instante verificando alguem online
1576,momento nao ninguem atender tente novamente outro horario
1580,silvana vamos conversar sobre
1581,favor escolha opcoes abaixo
1583,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
1584,deseja saber
1585,compra dia <NUMERO> maio nao recebi produto
1586,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1588,preciso informe cpf pessoa realizou compra
1590,compra silvana status pedido
1592,alguma informacao sobre pedido
1594,duvida silvana
1595,loja produto nao ta liberado
1596,nao entendi voce quis dizer vamos tentar novamente
1597,favor escolha opcoes abaixo
1599,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
1600,deseja saber
1601,recebi produto
1602,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1603,recebi produto
1604,nao entendi
1605,favor escolha opcoes abaixo
1609,gabriel vamos conversar sobre
1610,favor escolha opcoes abaixo
1612,favor informa numero pedido <PEDIDO>
1614,preciso informe cpf pessoa realizou compra
1616,pedido <PEDIDO> boleto <PEDIDO> clique aqui
1617,ajudar
1619,aqui sempre precisar gabriel
1623,andrea vamos conversar sobre
1624,favor escolha opcoes abaixo
1626,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1628,preciso informe cpf pessoa realizou compra
1630,compra andrea status pedido
1632,alguma informacao sobre pedido
1634,duvida andrea
1635,aguardando contato entrega
1636,escolheu opcao receber produto residencia prazo entrega <NUMERO> dias uteis confirmacao pagamento
1637,consultar status entrega
1646,residencia
1648,compra sera entregue ate <span style color <NUMERO> voce ira receber ligacao agendar dia entrega
1675,ajudar
1677,andrea
1681,vanessa vamos conversar sobre
1682,favor escolha opcoes abaixo
1684,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1686,preciso informe cpf pessoa realizou compra
1688,compra vanessa status pedido
1690,alguma informacao sobre pedido
1692,ainda aprendendo vanessa algumas duvidas ainda nao consigo ajudar aqui fala duvida sobre prazo entrega confirmacao pagamento
1694,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
1695,falar atendente humano
1697,redirecionar atendente humano clique botao abaixo
1699,instante verificando alguem online
1701,momento nao ninguem atender tente novamente outro horario
1703,breve bjs
1707,vanessa vamos conversar sobre
1708,favor escolha opcoes abaixo
1710,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1712,preciso informe cpf pessoa realizou compra
1714,compra vanessa status pedido
1716,alguma informacao sobre pedido
1718,ainda aprendendo vanessa algumas duvidas ainda nao consigo ajudar aqui fala duvida sobre prazo entrega confirmacao pagamento
1719,compra
1720,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
1721,falar atendente humano
1723,redirecionar atendente humano clique botao abaixo
1725,instante verificando alguem online
1727,momento nao ninguem atender tente novamente outro horario
1729,breve bjs
1733,vanessa vamos conversar sobre
1734,favor escolha opcoes abaixo
1736,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1738,preciso informe cpf pessoa realizou compra
1740,compra vanessa status pedido
1742,alguma informacao sobre pedido
1744,duvida vanessa
1745,trocar
1746,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
1747,falar atendente humano
1749,redirecionar atendente humano clique botao abaixo
1751,instante verificando alguem online
1753,momento nao ninguem atender tente novamente outro horario
1755,breve bjs
1758,ce
1759,igo amancio vamos conversar sobre
1760,favor escolha opcoes abaixo
1761,pedido
1762,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1763,<PEDIDO>
1764,preciso informe cpf pessoa realizou compra
1765,<NUMERO>
1766,compra igo amancio status pedido
1768,alguma informacao sobre pedido
1769,sim
1770,tentar ajudar duvida igo amancio
1771,disseram retirada tres dias
1772,amancio voce comprou retirar produto loja prazo retirada <NUMERO> horas uteis apos voce receber mail confirmacao pagamento
1773,consultar status pedido
1774,sim
1775,amancio voce escolheu <div style
1789,loja
1791,pedido <span style color <PEDIDO> estara disponivel ir pegar loja partir <span style color <NUMERO>
1811,ajudar
1812,nao
1813,botao abaixo vou redirecionar atendimento
1814,trueconsultahumano
1815,instante verificando alguem online
1816,falsechatonline
1817,amancio momento nao ninguem atender tente novamente outro horario
1818,tchau
1819,breve bjs
1823,flavio vamos conversar sobre
1824,favor escolha opcoes abaixo
1826,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1828,preciso informe cpf pessoa realizou compra
1830,compra flavio status pedido
1832,alguma informacao sobre pedido
1834,ainda aprendendo flavio algumas duvidas ainda nao consigo ajudar aqui fala duvida sobre prazo entrega confirmacao pagamento
1835,nao recebi email retirada produto loja
1836,sistema leva ate <NUMERO> analise pagamento nesse prazo voce podera receber algum contato telefone confirmar algumas informacoes
1837,descontado algum valor cartao nao preocupe apenas reserva enquanto compra analisada
1838,ajudar
1840,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
1844,flavio vamos conversar sobre
1845,favor escolha opcoes abaixo
1847,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1849,preciso informe cpf pessoa realizou compra
1851,compra flavio status pedido
1853,alguma informacao sobre pedido
1855,ajudar
1857,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
1860,sant pb
1861,tiago jose sant vamos conversar sobre
1862,favor escolha opcoes abaixo
1863,sant pedido
1864,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1865,sant <NUMERO>
1866,nao entendendo
1867,favor escolha opcoes abaixo
1868,sant pedido
1869,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1870,sant <PEDIDO>
1871,preciso informe cpf pessoa realizou compra
1872,sant <NUMERO>
1873,compra tiago jose sant status pedido
1875,alguma informacao sobre pedido
1876,sant sim
1877,duvida tiago jose sant
1878,sant deram <NUMERO> dias uteis
1879,nao entendi
1880,favor escolha opcoes abaixo
1883,pb
1884,luciana goncalves vamos conversar sobre
1885,favor escolha opcoes abaixo
1886,duvidas
1887,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
1888,deseja saber
1889,vou receber pedido loja fechada
1890,nao entendi voce quis dizer vamos tentar novamente
1891,favor escolha opcoes abaixo
1892,pedido
1893,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1894,<PEDIDO>
1895,preciso informe cpf pessoa realizou compra
1896,<NUMERO>
1897,compra luciana goncalves status pedido
1899,alguma informacao sobre pedido
1900,nao
1901,ajudar
1902,nao
1903,redirecionar atendente humano clique botao abaixo
1904,trueconsultahumano
1905,instante verificando alguem online
1906,falsechatonline
1907,goncalves momento nao ninguem atender tente novamente outro horario
1908,tchau
1909,breve bjs
1913,itallo vamos conversar sobre
1914,favor escolha opcoes abaixo
1916,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1918,preciso informe cpf pessoa realizou compra
1920,compra itallo status pedido
1922,alguma informacao sobre pedido
1924,ajudar
1926,aqui sempre precisar itallo
1930,regina vamos conversar sobre
1931,favor escolha opcoes abaixo
1933,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1935,preciso informe cpf pessoa realizou compra
1937,compra regina status pedido
1939,alguma informacao sobre pedido
1942,souza pb
1943,rosana deise souza vamos conversar sobre
1944,favor escolha opcoes abaixo
1945,souza pedido
1946,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1947,souza <PEDIDO>
1948,preciso informe cpf pessoa realizou compra
1949,souza <NUMERO>
1950,nao consegui encontrar compras cpf informa novamente
1954,erickisson vamos conversar sobre
1955,favor escolha opcoes abaixo
1956,compra
1957,informa cpf
1959,acabei verificar cpf voce nao possui nenhum saldo vale compra momento
1960,ajudar
1962,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
1965,pb
1966,lays vamos conversar sobre
1967,favor escolha opcoes abaixo
1968,pedido
1969,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1970,<PEDIDO>
1971,preciso informe cpf pessoa realizou compra
1972,<NUMERO>
1973,compra lays status pedido
1974,recebido produto smart tv <NUMERO> <NUMERO> polegadas tcl led ultra hd <NUMERO> android bluetooth controle remoto comando voz hdr <NUMERO> hdmi <NUMERO> usb tipo entrega retirada loja observacao partir dia <NUMERO> voce podera pegar produto loja
1975,ficou alguma duvida relacao pedido
1976,sim
1977,ainda aprendendo lays algumas duvidas ainda nao consigo ajudar aqui outras voce pode tentar consultar outras duvidas logo inicio conversa
1978,fala irei verificar junto colegas vou pedir entrar contato voce breve
1979,prazo entrega
1981,encerrar
1982,ok lays vou repassar voce falou colegas
1983,ter ajudado abracos
1987,dayane vamos conversar sobre
1988,favor escolha opcoes abaixo
1990,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
1992,preciso informe cpf pessoa realizou compra
1994,compra dayane status pedido
1996,alguma informacao sobre pedido
2000,dayane vamos conversar sobre
2001,favor escolha opcoes abaixo
2003,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
2005,preciso informe cpf pessoa realizou compra
2007,compra dayane status pedido
2009,alguma informacao sobre pedido
2012,pb
2013,camila matias vamos conversar sobre
2014,favor escolha opcoes abaixo
2015,pedido
2016,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
2017,<PEDIDO>
2018,preciso informe cpf pessoa realizou compra
2019,<NUMERO>
2020,compra camila matias status pedido
2022,alguma informacao sobre pedido
2023,sim
2024,duvida camila matias
2025,quarentena nao deveria entregue casa
2026,nao entendi voce quis dizer vamos tentar novamente
2027,favor escolha opcoes abaixo
2031,silvano vamos conversar sobre
2032,favor escolha opcoes abaixo
2034,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
2036,preciso informe cpf pessoa realizou compra
2038,nao consegui localizar dados informados irei abrir chamado interno poder ajudar vou precisar preencha informacoes formulario abaixo
2039,equipe vai verificar caso ate <NUMERO> daremos retorno pedimos compreensao prazo ja equipe reduzida devido coronavirus
2040,puder fique casa
2042,chamado aberto peco compreensao relacao prazo ja equipe atendimento contingencia devido coronavirus ah puder fique casa br> br> tchau ate
